country,date,decklist,event,format,hero,result,deck_link,event_type,deck_id
Germany,19 Jul 2026,Fabian Rex – Fai – Sunday Showdown: Las Vegas 2026,Sunday Showdown: Las Vegas 2026,Silver Age,Fai,1st,https://fabtcg.com/decklists/fabian-rex-fai-sunday-showdown-las-vegas/ ,sunday showdown,81d9f1fbac917aeb06f5a0bcee42eb15_FR–F–SSLV20261st
United States of America,19 Jul 2026,Jonah Markham – Enigma – Sunday Showdown: Las Vegas 2026,Sunday Showdown: Las Vegas 2026,Silver Age,Enigma,2nd,https://fabtcg.com/decklists/jonah-markham-enigma-sunday-showdown-las-vegas/ ,sunday showdown,e6e70b5306c636e8168b63a0d07541d6_JM–E–SSLV20262nd
United States of America,19 Jul 2026,Joel Grizzelle – Oldhim – Sunday Showdown: Las Vegas 2026,Sunday Showdown: Las Vegas 2026,Silver Age,Oldhim,3rd,https://fabtcg.com/decklists/joel-grizzelle-oldhim-sunday-showdown-las-vegas/ ,sunday showdown,db8889142db2f1ef0470e1f86fcedd86_JG–O–SSLV20263rd
United States of America,19 Jul 2026,David Bruner – Enigma – Sunday Showdown: Las Vegas 2026,Sunday Showdown: Las Vegas 2026,Silver Age,Enigma,3rd,https://fabtcg.com/decklists/david-bruner-enigma-sunday-showdown-las-vegas/ ,sunday showdown,b7afdba8b76b8f59e65dd7fd58bd9ae6_DB–E–SSLV20263rd
United States of America,19 Jul 2026,Tyler Kearney – Oldhim – Sunday Showdown: Las Vegas 2026,Sunday Showdown: Las Vegas 2026,Silver Age,Oldhim,5th,https://fabtcg.com/decklists/tyler-kearney-oldhim-sunday-showdown-las-vegas/ ,sunday showdown,a593f8a3bb7ea6cb4e73ae869c73ed15_TK–O–SSLV20265th
Belgium,19 Jul 2026,"Warre Sevens – Blaze, Firemind – Sunday Showdown: Las Vegas 2026",Sunday Showdown: Las Vegas 2026,Silver Age,"Blaze, Firemind",5th,https://fabtcg.com/decklists/warre-sevens-blaze-firemind-sunday-showdown-las-vegas/ ,sunday showdown,a21ac4885425cdd6452bc587347cd2b7_WS–BF–SSLV20265th
Hong Kong,19 Jul 2026,"Nova Chan – Blaze, Firemind – Sunday Showdown: Las Vegas 2026",Sunday Showdown: Las Vegas 2026,Silver Age,"Blaze, Firemind",5th,https://fabtcg.com/decklists/nova-chan-blaze-firemind-sunday-showdown-las-vegas/ ,sunday showdown,545a398e0975f1703af285a285726f42_NC–BF–SSLV20265th
United States of America,19 Jul 2026,Andrew Singleton – Fai – Sunday Showdown: Las Vegas 2026,Sunday Showdown: Las Vegas 2026,Silver Age,Fai,5th,https://fabtcg.com/decklists/andrew-singleton-fai-sunday-showdown-las-vegas/ ,sunday showdown,ba0ba01c9df59d3e3a8c5d30865de465_AS–F–SSLV20265th
Japan,18 Jul 2026,Ryosuke Urase – Kassai of the Golden Sand – Calling: Las Vegas 2026,Calling: Las Vegas 2026,Classic Constructed,Kassai of the Golden Sand,1st,https://fabtcg.com/decklists/ryosuke-urase-kassai-of-the-golden-sand-calling-las-vegas/ ,calling,89f8dfa4c79065b312842b8f28c81951_RU–KotGS–CLV20261st
Canada,18 Jul 2026,Michael Metallo – Zyggy Starlight – Calling: Las Vegas 2026,Calling: Las Vegas 2026,Classic Constructed,Zyggy Starlight,2nd,https://fabtcg.com/decklists/michael-metallo-zyggy-starlight-calling-las-vegas/ ,calling,d3733bd2daf00ade67cd987d3c410194_MM–ZS–CLV20262nd
